date,lme_cash_usd_per_tonne,lme_cash_usd_per_lb
2022-12-30,8387.0,3.80428373143671
2023-01-03,8390.0,3.8056445101650174
2023-01-04,8209.0,3.7235441935571667
2023-01-05,8420.0,3.8192522974480867
2023-01-06,8362.5,3.793170705155537
2023-01-09,8722.0,3.95623735609765
2023-01-10,8766.5,3.9764222405675356
2023-01-11,8987.0,4.076439477098094
2023-01-12,9071.5,4.1147680779454054
2023-01-13,9107.0,4.130870626230371
2023-01-16,9145.5,4.148333953243643
2023-01-17,9114.0,4.1340457765964205
2023-01-18,9436.0,4.280102693434697
2023-01-19,9190.0,4.168518837713529
2023-01-20,9232.0,4.187569739909826
2023-01-23,9340.5,4.236784570583593
2023-01-24,9308.0,4.222042801026935
2023-01-25,9258.0,4.199363155555153
2023-01-26,9288.5,4.21319773929294
2023-01-27,9345.5,4.239052535130771
2023-01-30,9227.0,4.185301775362648
2023-01-31,9075.0,4.116355653128431
2023-02-01,9175.0,4.161714944071995
2023-02-02,9114.0,4.1340457765964205
2023-02-03,9060.0,4.109551759486896
2023-02-06,8891.5,4.03312135424699
2023-02-07,8865.0,4.0211011421469465
2023-02-08,9006.0,4.085057742377371
2023-02-09,8953.5,4.061244114632
2023-02-10,8905.0,4.039244858524372
2023-02-13,8912.0,4.042420008890422
2023-02-14,8931.5,4.051265070624416
2023-02-15,8826.0,4.003411018678956
2023-02-16,8892.0,4.033348150701708
2023-02-17,8871.0,4.02382269960356
2023-02-20,9015.0,4.089140078562292
2023-02-21,9103.5,4.129283051047346
2023-02-22,9121.0,4.13722092696247
2023-02-23,9060.0,4.109551759486896
2023-02-24,8807.0,3.994792753399679
2023-02-27,8751.0,3.969391550471283
2023-02-28,8844.0,4.011575691048797
2023-03-01,9066.5,4.1125001133982275
2023-03-02,8896.0,4.035162522339451
2023-03-03,8945.0,4.057388574901798
2023-03-06,8819.0,4.000235868312907
2023-03-07,8824.0,4.002503832860085
2023-03-08,8810.0,3.996153532127986
2023-03-09,8808.0,3.9952463463091146
2023-03-10,8755.0,3.971205922109026
2023-03-13,8651.0,3.9240322595277193
2023-03-14,8905.0,4.039244858524372
2023-03-15,8525.0,3.8668795529388285
2023-03-16,8535.0,3.871415482033185
2023-03-17,8621.0,3.91042447224465
2023-03-20,8677.0,3.935825675173046
2023-03-21,8824.0,4.002503832860085
2023-03-22,8880.5,4.028131832243199
2023-03-23,8917.0,4.0446879734376
2023-03-24,8927.0,4.049223902531955
2023-03-27,8876.0,4.026090664150738
2023-03-28,8934.0,4.052399052898005
2023-03-29,9052.0,4.105923016211411
2023-03-30,9038.5,4.099799511934029
2023-03-31,8935.0,4.052852645807441
2023-04-03,8966.0,4.066914025999946
2023-04-04,8930.0,4.050584681260263
2023-04-05,8780.0,3.982545744844917
2023-04-06,8836.0,4.007946947773313
2023-04-11,8837.5,4.008627337137466
2023-04-12,8803.0,3.9929783817619366
2023-04-13,9001.5,4.083016574284911
2023-04-14,9082.0,4.11953080349448
2023-04-17,8985.0,4.075532291279223
2023-04-18,8966.0,4.066914025999946
2023-04-19,8875.0,4.025637071241302
2023-04-20,8875.0,4.025637071241302
2023-04-21,8816.0,3.9988750895845997
2023-04-24,8762.5,3.9746078689297932
2023-04-25,8521.0,3.865065181301086
2023-04-26,8579.0,3.891373570048353
2023-04-27,8465.5,3.839890774827408
2023-04-28,8571.0,3.887744826772868
2023-05-02,8573.0,3.888652012591739
2023-05-03,8486.0,3.849189429470839
2023-05-04,8539.0,3.8732298536709275
2023-05-05,8488.0,3.85009661528971
2023-05-09,8583.0,3.893187941686096
2023-05-10,8469.0,3.841478350010433
2023-05-11,8267.0,3.7498525823044337
2023-05-12,8240.0,3.737605573749671
2023-05-15,8287.0,3.7589244404931463
2023-05-16,8076.0,3.6632163366022263
2023-05-17,8176.0,3.70857562754579
2023-05-18,8171.5,3.70653445945333
2023-05-19,8222.0,3.7294409013798298
2023-05-22,8094.0,3.6713810089720678
2023-05-23,7961.0,3.611053152017128
2023-05-24,7910.0,3.5879199136359103
2023-05-25,7922.0,3.593363028549138
2023-05-26,8082.0,3.6659378940588403
2023-05-30,8122.0,3.684081610436266
2023-05-31,8017.0,3.6364543549455237
2023-06-01,8210.5,3.72422458292132
2023-06-02,8337.0,3.7816040859649283
2023-06-05,8265.0,3.748945396485562
2023-06-06,8311.0,3.7698106703196017
2023-06-07,8352.0,3.788407979606463
2023-06-08,8243.0,3.7389663524779784
2023-06-09,8368.0,3.795665466157433
2023-06-12,8287.0,3.7589244404931463
2023-06-13,8421.5,3.81993268681224
2023-06-14,8457.0,3.836035235097205
2023-06-15,8479.0,3.8460142791047893
2023-06-16,8561.0,3.8832088976785117
2023-06-19,8542.0,3.8745906323992347
2023-06-20,8565.0,3.885023269316254
2023-06-21,8490.0,3.851003801108581
2023-06-22,8670.5,3.932877321261714
2023-06-23,8490.0,3.851003801108581
2023-06-26,8437.0,3.8269633769084925
2023-06-27,8367.0,3.7952118732479976
2023-06-28,8268.0,3.7503061752138693
2023-06-29,8165.5,3.703812901996716
2023-06-30,8210.0,3.7239977864666023
2023-07-03,8355.0,3.78976875833477
2023-07-04,8349.0,3.787047200878156
2023-07-05,8251.0,3.7425950957534635
2023-07-06,8280.0,3.755749290127097
2023-07-07,8299.0,3.7643675554063742
2023-07-10,8286.0,3.7584708475837107
2023-07-11,8371.0,3.79702624488574
2023-07-12,8367.0,3.7952118732479976
2023-07-13,8585.0,3.894095127504967
2023-07-14,8651.0,3.9240322595277193
2023-07-17,8460.5,3.8376228102802297
2023-07-18,8410.0,3.81471636835373
2023-07-19,8354.0,3.789315165425334
2023-07-20,8543.0,3.8750442253086703
2023-07-21,8422.0,3.820159483266958
2023-07-24,8430.0,3.823788226542443
2023-07-25,8597.0,3.8995382424181946
2023-07-26,8534.0,3.8709618891237496
2023-07-27,8578.5,3.8911467735936354
2023-07-28,8592.0,3.8972702778710167
2023-07-31,8635.5,3.917001569431467
2023-08-01,8720.5,3.9555569667334964
2023-08-02,8545.0,3.8759514111275415
2023-08-03,8472.0,3.84283912873874
2023-08-04,8450.5,3.8330868811858734
2023-08-07,8495.0,3.8532717656557596
2023-08-08,8276.0,3.7539349184893545
2023-08-09,8395.0,3.8079124747121953
2023-08-10,8423.5,3.8208398726311112
2023-08-11,8242.0,3.738512759568543
2023-08-14,8242.0,3.738512759568543
2023-08-15,8126.5,3.686122778528726
2023-08-16,8132.0,3.688617539530622
2023-08-17,8215.0,3.72626575101378
2023-08-18,8176.0,3.70857562754579
2023-08-21,8239.5,3.7373787772949534
2023-08-22,8342.0,3.7838720505121066
